phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
"1 · Chia phần giữ A",16.6670,5.9639,0.9513,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6675,6.0242,0.8881,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,6.1809,0.9476,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6657,6.6024,0.9408,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6689,6.1655,0.8512,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,5.8536,0.8983,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,6.0195,1.0396,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,5.9395,1.3696,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6664,6.2882,0.7421,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6707,6.2357,1.8040,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6714,6.2204,0.7555,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6661,5.9464,0.7670,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6674,6.2188,0.7959,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6664,6.0306,0.7976,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,6.1822,0.7963,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6673,6.0379,0.8841,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,5.8744,0.7770,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6660,5.9633,0.7651,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.8442,0.8070,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6898,5.8625,0.8755,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6646,5.8257,0.8828,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,6.4114,0.8947,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6998,6.1277,0.8155,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6655,6.1445,0.9357,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6656,6.2451,1.0647,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,6.4963,0.9532,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,6.3414,0.8329,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,6.5842,1.5368,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,6.5804,1.4457,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7296,6.5272,1.2564,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6685,6.3918,1.2013,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6631,6.7705,0.8005,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,7.4540,1.4200,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6676,7.4782,0.9101,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,7.6018,1.4289,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6889,7.1379,0.9659,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,9.0209,1.3303,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6994,8.1808,1.7660,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6956,8.5933,1.3073,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6813,8.6689,1.1221,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6722,7.3042,1.0034,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6657,7.2624,1.0490,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6993,6.2497,0.8878,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6674,6.6231,0.9978,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6701,6.6920,0.9356,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6626,6.3585,1.0347,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.9916,1.0846,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6823,7.2779,1.1831,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6771,7.9877,1.0669,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6710,8.3328,1.5457,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6900,8.6556,1.1283,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6809,8.5866,1.5107,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6931,7.0708,1.3010,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6725,7.2198,1.3748,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6973,6.7044,1.3016,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6836,6.7744,1.1805,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6845,6.5406,1.2093,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6743,5.7010,0.8859,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6681,5.6593,0.9390,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6696,5.5451,1.0963,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6631,5.5822,1.0007,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7047,5.5803,1.0111,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7226,5.8508,0.9249,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6956,5.8265,0.8063,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6695,5.3162,1.3115,0.0000,0.0000,1
"1 · Chia phần giữ A",16.7327,5.4779,0.8835,0.0000,0.0000,1
"1 · Chia phần giữ A",27.3233,5.2116,1.4895,0.0000,0.0000,1
"1 · Chia phần giữ A",22.0337,5.8166,1.3854,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6661,5.4972,0.8193,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,5.1298,0.9849,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6680,5.3391,0.8789,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6661,5.3902,1.0874,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.3915,1.3762,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6655,5.8725,0.8385,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.6648,0.8229,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6673,5.6586,0.8584,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,5.5214,0.8651,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6664,5.6343,0.9585,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6668,5.5312,0.8169,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.4734,0.8468,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6675,5.7702,0.8096,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6671,5.4602,1.0009,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6722,5.4679,0.9367,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6662,5.4974,0.8161,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,5.2497,0.9497,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.9739,0.8538,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6662,5.7405,0.8188,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6681,5.7866,0.8205,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.6329,0.8138,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6673,6.0013,0.8454,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6648,5.9486,0.8159,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.9484,0.8241,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6675,5.7450,0.8269,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6665,5.6199,0.8509,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6666,5.7135,0.8145,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6669,6.0300,0.8326,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,6.0020,0.8759,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6682,5.8617,0.8568,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6660,6.0381,0.7939,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6677,5.9622,0.9659,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.6429,0.9334,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6661,5.7607,0.8163,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6762,5.6454,0.9825,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6648,5.5849,0.8397,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6679,5.6567,0.8199,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6645,5.4590,0.9828,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6673,5.5524,0.8931,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6664,6.0518,0.9475,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,5.9041,0.8716,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6653,5.9107,0.9289,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6663,6.2347,0.8412,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6670,5.8011,0.8972,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6862,6.2440,0.9902,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6630,5.8616,1.0243,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6663,5.7939,1.0710,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6678,6.0048,0.8851,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6680,5.8197,0.9035,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6640,5.9409,0.8702,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6683,5.9698,0.9564,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6660,5.9101,1.0522,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6705,5.9455,1.3925,0.0000,0.0000,1
"1 · Chia phần giữ A",16.6667,5.9974,2.4798,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6671,5.7299,0.7883,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6782,6.0082,0.5832,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6677,6.0249,0.7405,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6650,6.2294,0.5470,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6670,6.0227,0.5371,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6664,6.0586,0.5267,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6673,6.1705,0.5378,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6665,6.2013,0.5711,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6670,6.2000,0.5280,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6658,6.1557,0.5216,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6690,6.4474,0.6102,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6663,6.0144,0.6065,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6660,6.5041,0.5961,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6668,6.5982,0.6010,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6663,6.5466,0.5981,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6740,6.8984,0.6073,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6644,6.7951,0.5922,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6669,6.8044,0.5758,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6671,6.9300,0.5788,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6668,7.2605,0.6031,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6677,7.2764,0.5652,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6650,7.0748,0.5549,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6672,7.4731,0.5638,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6666,7.1864,0.6059,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6672,7.5144,0.5396,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6677,7.4396,0.5702,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6665,7.2209,0.5056,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6657,7.2847,0.5188,0.0000,0.0000,2
"1 · Chia phần giữ A",16.6671,7.2595,0.5555,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6667,7.4713,0.5410,34.7774,0.4734,2
"2 · Phần nhỏ giữ A",49.2545,7.9662,1.9019,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.7813,7.8444,0.6535,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",17.0008,7.7039,0.6935,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6672,7.5733,0.6541,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,7.9199,0.6521,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6660,8.2106,0.6170,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6671,8.3371,0.6274,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6667,8.6357,0.6893,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6679,8.6117,0.6383,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6663,8.5861,0.6341,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,8.6895,0.6482,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6666,8.6549,0.6583,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6664,8.8295,0.6192,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6668,8.7493,0.6362,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6667,8.7898,0.6299,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6666,8.8907,0.6398,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6669,8.7617,0.6541,0.0000,0.0000,2
