phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
1 · Chia phần giữ A,16.6675,6.3719,0.8056,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.5548,0.7956,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.6681,0.8074,0.0000,0.0000,1
1 · Chia phần giữ A,16.6664,6.5216,0.8094,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.5308,0.8266,0.0000,0.0000,1
1 · Chia phần giữ A,16.6667,6.6256,0.8328,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,6.6550,0.8866,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.5205,0.8879,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.5895,0.8221,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,6.5026,0.8060,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,6.4045,0.8224,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.1511,0.8006,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,6.1194,0.8020,0.0000,0.0000,1
1 · Chia phần giữ A,16.6661,6.0997,0.8127,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,6.0367,0.7965,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,5.9391,0.8201,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,6.1291,0.8015,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,6.1256,0.7902,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,5.7313,0.7993,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,5.9798,0.8626,0.0000,0.0000,1
1 · Chia phần giữ A,16.6684,5.8212,0.8714,0.0000,0.0000,1
1 · Chia phần giữ A,16.6649,5.9446,0.8027,0.0000,0.0000,1
1 · Chia phần giữ A,16.6678,5.9467,0.9209,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,5.9962,0.8302,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.0171,0.8450,0.0000,0.0000,1
1 · Chia phần giữ A,16.6654,5.8534,0.8237,0.0000,0.0000,1
1 · Chia phần giữ A,16.6878,5.7966,0.9576,0.0000,0.0000,1
1 · Chia phần giữ A,16.6485,5.9685,0.9985,0.0000,0.0000,1
1 · Chia phần giữ A,16.7449,5.5587,0.9394,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,5.5027,0.9838,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.5778,0.9388,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,5.7736,0.8746,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,5.5695,0.8219,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.5604,0.9337,0.0000,0.0000,1
1 · Chia phần giữ A,16.6874,5.5558,0.9614,0.0000,0.0000,1
1 · Chia phần giữ A,16.6643,5.6375,0.8692,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.7864,0.8368,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,5.6202,0.8769,0.0000,0.0000,1
1 · Chia phần giữ A,16.6675,5.4992,0.8920,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.4643,0.8516,0.0000,0.0000,1
1 · Chia phần giữ A,16.6677,5.2542,0.8086,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,5.4198,0.7919,0.0000,0.0000,1
1 · Chia phần giữ A,16.6709,5.2955,0.8078,0.0000,0.0000,1
1 · Chia phần giữ A,16.6659,5.3497,0.7946,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,5.3519,0.7986,0.0000,0.0000,1
1 · Chia phần giữ A,16.6673,5.1910,0.7996,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,5.2077,0.8154,0.0000,0.0000,1
1 · Chia phần giữ A,16.6665,5.2742,0.8013,0.0000,0.0000,1
1 · Chia phần giữ A,16.6670,5.2810,0.8135,0.0000,0.0000,1
1 · Chia phần giữ A,16.6666,5.4602,0.7833,0.0000,0.0000,1
1 · Chia phần giữ A,16.6712,5.3013,0.8016,0.0000,0.0000,1
1 · Chia phần giữ A,16.6654,5.5780,0.8288,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,5.7943,0.7883,0.0000,0.0000,1
1 · Chia phần giữ A,16.6661,5.6967,0.7972,0.0000,0.0000,1
1 · Chia phần giữ A,16.6669,5.6543,0.8347,0.0000,0.0000,1
1 · Chia phần giữ A,16.6675,5.6897,0.8116,0.0000,0.0000,1
1 · Chia phần giữ A,16.6971,5.6636,0.9211,0.0000,0.0000,1
1 · Chia phần giữ A,16.6663,5.7700,0.8751,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.6888,0.8928,0.0000,0.0000,1
1 · Chia phần giữ A,16.6672,5.8393,0.8774,0.0000,0.0000,1
1 · Chia phần giữ A,16.6659,5.9073,0.8712,0.0000,0.0000,1
1 · Chia phần giữ A,16.6668,5.8725,0.8579,0.0000,0.0000,1
1 · Chia phần giữ A,16.6993,5.9909,1.0663,0.0000,0.0000,1
1 · Chia phần giữ A,16.6671,6.2820,0.9923,0.0000,0.0000,1
1 · Chia phần giữ A,16.6662,6.0156,0.8949,0.0000,0.0000,1
1 · Chia phần giữ A,16.6690,6.4202,0.9851,0.0000,0.0000,1
1 · Chia phần giữ A,16.6721,5.6681,0.9828,0.0000,0.0000,1
1 · Chia phần giữ A,16.6660,5.8253,1.3737,0.0000,0.0000,1
1 · Chia phần giữ A,16.6674,5.9250,1.9035,0.0000,0.0000,2
1 · Chia phần giữ A,16.6676,6.3069,0.7801,0.0000,0.0000,2
1 · Chia phần giữ A,16.6659,6.1978,0.6633,0.0000,0.0000,2
1 · Chia phần giữ A,16.6666,6.2242,0.6373,0.0000,0.0000,2
1 · Chia phần giữ A,16.6662,6.5166,0.5735,0.0000,0.0000,2
1 · Chia phần giữ A,16.6893,6.5727,0.6025,0.0000,0.0000,2
1 · Chia phần giữ A,16.6899,6.6477,0.6385,0.0000,0.0000,2
1 · Chia phần giữ A,16.6650,6.5519,0.6615,0.0000,0.0000,2
1 · Chia phần giữ A,16.6664,6.7087,0.6154,0.0000,0.0000,2
1 · Chia phần giữ A,16.6668,6.9144,0.6497,0.0000,0.0000,2
1 · Chia phần giữ A,16.6668,6.3058,0.5736,0.0000,0.0000,2
1 · Chia phần giữ A,16.6674,6.5718,0.7270,0.0000,0.0000,2
1 · Chia phần giữ A,16.6667,6.4473,0.7740,0.0000,0.0000,2
1 · Chia phần giữ A,16.6652,7.4844,0.6629,0.0000,0.0000,2
1 · Chia phần giữ A,16.6880,6.9301,0.6338,0.0000,0.0000,2
1 · Chia phần giữ A,16.7303,7.0627,0.7023,0.0000,0.0000,2
1 · Chia phần giữ A,16.6722,7.4246,0.6151,0.0000,0.0000,2
1 · Chia phần giữ A,16.7170,8.0619,0.6367,0.0000,0.0000,2
1 · Chia phần giữ A,16.6841,7.5307,0.6599,0.0000,0.0000,2
1 · Chia phần giữ A,16.6783,7.6738,0.6728,0.0000,0.0000,2
1 · Chia phần giữ A,16.6899,7.6158,0.5724,0.0000,0.0000,2
1 · Chia phần giữ A,16.6727,7.8372,0.6570,0.0000,0.0000,2
1 · Chia phần giữ A,16.6855,7.6725,0.5922,0.0000,0.0000,2
1 · Chia phần giữ A,16.6850,7.6438,0.5597,0.0000,0.0000,2
1 · Chia phần giữ A,16.6657,7.8983,0.5732,0.0000,0.0000,2
1 · Chia phần giữ A,16.6998,7.7847,0.5637,0.0000,0.0000,2
1 · Chia phần giữ A,16.7540,7.7253,0.5891,0.0000,0.0000,2
1 · Chia phần giữ A,16.6688,7.6958,0.6273,0.0000,0.0000,2
1 · Chia phần giữ A,16.7569,7.3612,0.6151,0.0000,0.0000,2
1 · Chia phần giữ A,16.8441,7.5460,0.8275,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.7810,7.4695,0.5754,287.6651,1.0374,2
2 · Phần nhỏ giữ A,315.6896,7.9217,3.4447,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6913,7.6371,0.7432,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6653,7.6236,0.8582,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6896,7.7715,0.6931,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6683,8.1148,0.6929,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.5343,0.6130,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6655,8.3020,0.6237,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6680,8.9492,0.6251,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.5035,0.6156,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6677,8.5401,0.6573,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6655,8.6240,0.6437,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6673,8.7097,0.7106,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.9967,0.5874,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6668,8.8777,0.5858,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6679,8.9159,0.5937,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6652,8.7000,0.7680,0.0000,0.0000,2
